path,mode,blob_sha,sha256,bytes,line_count,language,authority_domain,source_role,training_eligibility,eligibility_reason,generated_projection
.editorconfig,100644,89ec8d46c5f8139fda0d8b2eb8508c6c94d5169a,b5d47ae054588234e5fd91512b639b629c0425649fdfe102aae606f172e8e4e5,284,18,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.env.example,100644,92e2c60f391b90ca1b0eee2f67d82a10589f994e,1e8158e11d0ebdece24c71de08dc584ceff9a8b2836bc8a825443d3cd18d98cf,1116,29,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.gitattributes,100644,9c975cdbd2edde393517ce4d52b2ea8aa3c4562d,558f099fc44a26c2c4817ac26c0095c9d1d010a5cf47cfea60b8d304f3e46ad8,338,19,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.github/dependabot.yml,100644,92b5000b0f991317379cc25a991ad6f82e49a083,0de6290b4348325adf91d9cf328cf6e55ee9b4497ef0d3854d1bcc1a7466cc9c,385,20,YAML,ci_supply_chain,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.github/workflows/ci.yml,100644,99f719e3a6e0de8c95232c7d5ec627f5626e584e,cf12775945fb867b3e5c46627087a18846ed6ee9716791cf3ffd94f1436b1a4e,4492,153,YAML,ci_supply_chain,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.gitignore,100644,a8309647bcac08e0d0f152ad1f9f1017e8dff5d2,46520ee7ae6d857227084895c39c9a76070cee030228dd8f7194e6f48a1775d1,975,87,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.npmrc,100644,4b5b2197dc15bcb9361519ad8c09ad8917b15aa3,3bb96a1a78db16d68bba21839331014b71697da669718bde6644bf736fdf5068,64,4,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.nvmrc,100644,ca5c350055ccb6dacb495a786f60c8232abed8f2,55075b5ec4e8b31936cbbc282b8829116d1fd48f2f2f1856dee592a6650700ce,8,1,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
.python-version,100644,3f0a10fda703c327eb329f869a19cc5cc05af521,3a55324cbeddc91df012407d051dad08c88624c95a82fbdb856728729fbd14ab,7,1,Config,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
CINEWATCH_ENGINEERING_WORKFLOW.md,100644,b1aedaa267704c62b972cc5309bdbc954ae771f1,1326b352485ae1f31e0e4450bd74518dad02aa486303899934482d7c8586ea69,25456,1039,Markdown,engineering_workflow,LOCKED_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
